,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coastal Carolina,34,17,17,.500,-0.50,-1.94,9,9,10,4,6,11,2641,2520,,71.2,108.3,.392,.386,.561,52.8,50.2,8.8,7.4,.524,16.7,32.1,.281
62,Colgate NCAA,35,24,11,.686,1.23,-3.83,13,5,15,1,9,9,2648,2458,,67.8,110.3,.282,.409,.585,52.7,56.6,8.9,10.0,.559,16.8,29.1,.210
63,College of Charleston,33,24,9,.727,2.36,-2.95,12,6,13,2,8,5,2453,2265,,66.3,111.3,.338,.367,.581,50.4,44.1,9.8,7.3,.545,14.1,25.4,.259
64,Colorado State,32,12,20,.375,-0.11,1.41,7,11,8,9,3,8,2393,2406,,68.9,108.1,.318,.397,.572,49.8,54.5,9.0,6.8,.548,15.1,24.5,.221
65,Colorado,36,23,13,.639,9.68,3.60,10,8,15,2,5,9,2648,2429,,69.4,105.6,.372,.349,.553,54.6,51.7,7.2,8.3,.510,16.7,30.7,.280
66,Columbia,28,10,18,.357,-5.18,-2.14,5,9,5,7,4,9,2059,2052,,69.4,102.3,.219,.381,.542,49.7,56.9,10.8,8.3,.521,16.2,25.6,.155
67,Connecticut,33,16,17,.485,6.81,4.32,6,12,13,5,1,8,2436,2354,,69.7,105.5,.327,.374,.538,50.7,48.3,8.7,11.9,.510,15.9,32.3,.223
68,Coppin State,33,8,25,.242,-18.90,-7.11,7,9,3,7,4,16,2118,2507,,71.9,88.5,.377,.460,.492,48.8,45.9,7.1,9.5,.454,20.5,25.5,.251
69,Cornell,31,15,16,.484,-6.12,-2.02,7,7,9,4,6,12,2149,2211,,69.6,98.0,.323,.429,.546,46.7,60.1,8.3,8.6,.513,17.4,18.3,.233
70,Creighton,35,20,15,.571,12.00,8.59,9,9,13,6,4,8,2727,2561,,70.2,109.4,.285,.470,.588,50.2,57.2,9.5,7.4,.570,16.7,24.9,.193
71,Dartmouth,30,11,19,.367,-5.75,-3.00,2,12,8,6,2,12,2160,2116,,68.3,104.5,.249,.412,.552,50.4,53.9,7.6,8.7,.527,15.6,24.3,.179
72,Davidson,34,24,10,.706,6.38,1.96,14,4,14,2,7,5,2409,2229,,66.1,106.8,.277,.466,.562,50.9,58.6,7.8,7.7,.532,15.0,23.8,.208
73,Dayton,33,21,12,.636,9.67,2.91,13,5,13,4,7,4,2406,2183,,66.2,108.9,.321,.345,.583,52.0,60.0,7.4,7.0,.561,16.7,26.4,.222
74,Delaware State,31,6,25,.194,-26.82,-10.13,2,14,3,9,2,15,1956,2371,,72.6,86.9,.249,.402,.446,46.7,47.9,9.5,6.0,.414,16.5,28.1,.169
75,Delaware,33,17,16,.515,-7.91,-4.82,8,10,9,7,7,8,2352,2380,,64.7,106.9,.312,.413,.567,48.8,51.2,6.8,6.5,.537,15.4,23.7,.227
76,Denver,30,8,22,.267,-11.84,-2.97,3,13,6,7,1,14,2086,2319,,69.1,100.3,.267,.361,.537,51.5,46.9,6.8,7.9,.504,17.4,26.7,.203
77,DePaul,36,19,17,.528,6.00,4.05,7,11,16,7,3,9,2821,2751,,71.7,108.6,.361,.328,.562,53.7,50.8,8.7,9.7,.527,16.3,31.8,.262
78,Detroit Mercy,31,11,20,.355,-6.33,-0.36,8,10,6,6,4,14,2279,2464,,70.4,104.4,.310,.440,.530,45.7,40.7,10.9,7.0,.497,14.2,28.8,.223
79,Drake,34,24,10,.706,2.52,-0.66,12,6,13,2,7,6,2563,2387,,69.6,106.3,.318,.398,.573,51.1,57.0,7.5,10.0,.539,16.7,24.9,.241
80,Drexel,32,13,19,.406,-7.02,-2.93,7,11,9,7,3,11,2425,2475,,70.0,108.3,.307,.352,.557,51.9,53.1,6.4,4.9,.522,14.8,29.0,.232
81,Duke NCAA,38,32,6,.842,26.90,11.98,14,4,15,2,7,2,3143,2576,,73.2,112.6,.332,.373,.561,53.8,52.4,12.4,16.4,.536,14.8,35.3,.228
82,Duquesne,32,19,13,.594,0.53,-0.63,10,8,14,4,4,6,2351,2314,,70.5,103.1,.350,.444,.532,48.2,54.6,11.0,12.1,.499,17.0,31.7,.243
83,East Carolina,31,10,21,.323,-5.49,1.31,3,15,8,9,1,11,2088,2299,,69.9,95.2,.356,.304,.499,47.9,51.0,10.2,10.0,.461,16.6,27.9,.243
84,East Tennessee State,34,24,10,.706,5.21,-1.79,13,5,13,3,8,6,2707,2371,,70.2,112.2,.307,.367,.572,57.3,53.2,10.4,11.8,.552,16.9,37.7,.206
85,Eastern Illinois,32,14,18,.438,-11.81,-5.01,7,11,7,6,5,10,2299,2457,,69.0,101.7,.285,.384,.530,49.2,52.5,8.8,10.7,.503,16.4,29.3,.196
86,Eastern Kentucky,31,13,18,.419,-7.40,-2.47,6,12,9,5,3,11,2562,2577,,79.9,101.3,.321,.392,.523,47.5,50.8,12.5,8.0,.488,15.4,27.7,.229
87,Eastern Michigan,32,15,17,.469,0.40,4.43,9,9,11,7,4,10,2203,2213,,66.5,102.3,.331,.348,.522,51.0,45.1,11.0,13.6,.500,17.3,35.6,.208
88,Eastern Washington,34,16,18,.471,-6.77,-4.17,12,8,9,4,4,13,2460,2527,,69.5,102.6,.268,.434,.535,49.9,53.3,8.3,8.6,.505,14.8,24.4,.195
89,Elon,32,11,21,.344,-11.53,-3.56,7,11,5,11,6,7,2266,2445,,69.0,101.8,.238,.506,.547,48.0,57.6,6.1,5.3,.526,16.6,23.6,.165
90,Evansville,32,11,21,.344,-3.84,0.13,5,13,9,7,2,13,2234,2317,,70.8,97.5,.372,.437,.535,47.3,52.7,8.1,7.1,.495,16.6,18.9,.268
91,Fairfield,31,9,22,.290,-10.20,-7.14,6,12,5,7,3,13,2072,2167,,68.1,98.1,.239,.422,.530,47.6,52.7,9.6,6.0,.507,18.2,25.8,.166
92,Fairleigh Dickinson NCAA,35,21,14,.600,-6.09,-7.24,12,6,13,4,7,9,2620,2515,,68.7,107.5,.362,.347,.576,49.3,52.8,10.7,10.5,.544,17.3,28.8,.263
93,Florida A&M,31,12,19,.387,-13.57,-8.09,9,7,6,3,6,14,1927,2057,,67.1,92.3,.307,.298,.513,47.9,49.4,10.8,10.7,.493,21.0,27.9,.188
94,Florida Atlantic,33,17,16,.515,-1.42,-1.76,8,10,9,5,6,9,2322,2243,,70.3,99.0,.280,.454,.520,52.4,51.8,7.8,8.2,.484,17.8,29.8,.210
95,Florida Gulf Coast,32,14,18,.438,-5.11,-1.48,9,7,10,4,4,10,2280,2360,,71.1,100.2,.329,.405,.552,48.3,55.5,9.6,11.6,.528,18.8,25.6,.220
96,Florida International,34,20,14,.588,-4.55,-1.45,10,8,12,4,6,9,2798,2734,,80.8,101.9,.382,.412,.529,45.4,49.8,13.1,11.2,.503,15.3,26.0,.244
97,Florida State NCAA,37,29,8,.784,17.99,10.26,13,5,15,1,6,4,2771,2485,,69.5,106.3,.358,.377,.545,53.2,49.5,10.2,12.7,.505,16.2,32.3,.267
98,Florida NCAA,36,20,16,.556,15.42,11.22,9,9,9,6,5,6,2440,2289,,64.7,103.7,.299,.433,.530,49.2,51.0,10.9,11.0,.498,15.4,30.6,.216
99,Fordham,32,12,20,.375,-5.02,-2.40,3,15,9,10,3,8,2108,2141,,66.4,98.0,.244,.440,.500,47.5,47.4,8.7,9.9,.475,14.1,25.3,.166
100,Fresno State,32,23,9,.719,8.99,0.67,13,5,13,4,7,3,2448,2162,,69.6,109.5,.307,.481,.573,51.0,54.0,10.2,10.5,.546,15.8,27.1,.221
101,Furman,33,25,8,.758,7.46,-1.50,13,5,13,3,11,4,2562,2182,,68.3,112.0,.259,.477,.581,50.8,56.3,12.6,11.4,.560,15.6,29.5,.186
102,Gardner-Webb NCAA,35,23,12,.657,-2.61,-4.43,11,6,13,0,8,9,2718,2468,,68.5,110.9,.378,.366,.587,49.2,52.6,9.7,8.8,.558,15.0,24.5,.269
103,George Mason,33,18,15,.545,0.84,0.08,11,7,11,6,6,6,2314,2289,,68.1,102.2,.342,.343,.537,51.3,48.4,9.0,8.4,.501,16.6,28.9,.245
104,George Washington,33,9,24,.273,-6.65,1.20,4,14,6,11,2,10,2097,2356,,67.5,92.8,.326,.343,.493,47.4,50.3,7.5,8.3,.458,16.3,23.3,.223
105,Georgetown,33,19,14,.576,6.80,5.31,9,9,13,6,5,6,2625,2576,,73.2,105.8,.382,.375,.551,52.0,60.6,8.0,10.5,.510,15.7,28.8,.282
106,Georgia Southern,33,21,12,.636,3.75,0.13,12,6,10,4,7,7,2726,2489,,75.2,109.0,.355,.312,.575,50.8,39.8,10.2,10.6,.549,16.0,28.4,.246
107,Georgia State NCAA,34,24,10,.706,2.44,0.65,13,5,13,1,7,7,2598,2491,,71.3,107.1,.353,.436,.565,45.4,46.0,11.1,14.0,.543,14.5,23.1,.235
108,Georgia Tech,32,14,18,.438,6.93,8.15,6,12,11,7,3,9,2091,2130,,68.1,95.5,.343,.334,.525,48.2,57.4,10.1,14.4,.492,18.7,25.2,.236
109,Georgia,32,11,21,.344,5.31,8.12,2,16,8,9,2,9,2274,2364,,70.4,100.9,.412,.371,.540,52.1,54.5,8.2,12.7,.500,19.4,32.7,.291
110,Gonzaga NCAA,37,33,4,.892,27.79,5.01,16,0,17,0,9,1,3243,2400,,71.7,122.2,.353,.353,.620,54.7,56.8,10.5,13.9,.590,13.1,30.4,.269
