78,Detroit Mercy,31,11,20,.355,-6.33,-0.36,8,10,6,6,4,14,2279,2464,,1240,784,1874,.418,294,825,.356,417,581,.718,336,1019,319,238,77,355,528
79,Drake,34,24,10,.706,2.52,-0.66,12,6,13,2,7,6,2563,2387,,1385,908,1943,.467,279,773,.361,468,618,.757,279,1214,518,180,130,449,568
80,Drexel,32,13,19,.406,-7.02,-2.93,7,11,9,7,3,11,2425,2475,,1280,874,1900,.460,237,669,.354,440,584,.753,312,1126,464,144,62,377,542
81,Duke NCAA,38,32,6,.842,26.90,11.98,14,4,15,2,7,2,3143,2576,,1525,1157,2418,.478,278,903,.308,551,803,.686,495,1567,606,346,257,488,595
82,Duquesne,32,19,13,.594,0.53,-0.63,10,8,14,4,4,6,2351,2314,,1295,810,1894,.428,271,841,.322,460,663,.694,379,1133,442,250,151,451,580
83,East Carolina,31,10,21,.323,-5.49,1.31,3,15,8,9,1,11,2088,2299,,1255,749,1791,.418,155,545,.284,435,638,.682,317,1061,382,224,110,416,622
84,East Tennessee State,34,24,10,.706,5.21,-1.79,13,5,13,3,8,6,2707,2371,,1375,1004,2067,.486,274,758,.361,425,634,.670,442,1351,534,252,135,483,603
85,Eastern Illinois,32,14,18,.438,-11.81,-5.01,7,11,7,6,5,10,2299,2457,,1310,826,1912,.432,272,735,.370,375,545,.688,347,1147,434,200,120,427,569
86,Eastern Kentucky,31,13,18,.419,-7.40,-2.47,6,12,9,5,3,11,2562,2577,,1265,902,2125,.424,272,832,.327,486,683,.712,362,1167,458,317,101,447,661
87,Eastern Michigan,32,15,17,.469,0.40,4.43,9,9,11,7,4,10,2203,2213,,1295,818,1823,.449,187,634,.295,380,604,.629,400,1155,369,237,143,442,529
88,Eastern Washington,34,16,18,.471,-6.77,-4.17,12,8,9,4,4,13,2460,2527,,1380,876,2040,.429,310,886,.350,398,546,.729,299,1192,467,200,101,401,632
89,Elon,32,11,21,.344,-11.53,-3.56,7,11,5,11,6,7,2266,2445,,1290,812,1862,.436,335,943,.355,307,443,.693,265,1082,468,135,62,413,539
90,Evansville,32,11,21,.344,-3.84,0.13,5,13,9,7,2,13,2234,2317,,1295,747,1776,.421,264,776,.340,476,660,.721,215,1095,394,185,89,416,602
91,Fairfield,31,9,22,.290,-10.20,-7.14,6,12,5,7,3,13,2072,2167,,1240,761,1755,.434,259,740,.350,291,420,.693,273,968,401,202,63,436,612
92,Fairleigh Dickinson NCAA,35,21,14,.600,-6.09,-7.24,12,6,13,4,7,9,2620,2515,,1420,921,1939,.475,269,672,.400,509,702,.725,323,1155,486,261,132,477,578
93,Florida A&M,31,12,19,.387,-13.57,-8.09,9,7,6,3,6,14,1927,2057,,1245,719,1640,.438,180,489,.368,309,503,.614,288,991,355,226,111,499,580
94,Florida Atlantic,33,17,16,.515,-1.42,-1.76,8,10,9,5,6,9,2322,2243,,1335,809,1971,.410,290,895,.324,414,551,.751,366,1296,419,184,93,485,575
95,Florida Gulf Coast,32,14,18,.438,-5.11,-1.48,9,7,10,4,4,10,2280,2360,,1280,809,1787,.453,269,724,.372,393,588,.668,272,1064,449,219,133,479,514
96,Florida International,34,20,14,.588,-4.55,-1.45,10,8,12,4,6,9,2798,2734,,1360,986,2239,.440,279,923,.302,547,855,.640,367,1217,491,359,153,477,655
97,Florida State NCAA,37,29,8,.784,17.99,10.26,13,5,15,1,6,4,2771,2485,,1500,960,2171,.442,272,819,.332,579,778,.744,418,1391,475,266,161,492,705
98,Florida NCAA,36,20,16,.556,15.42,11.22,9,9,9,6,5,6,2440,2289,,1455,857,2015,.425,291,872,.334,435,603,.721,375,1201,437,257,131,420,614
99,Fordham,32,12,20,.375,-5.02,-2.40,3,15,9,10,3,8,2108,2141,,1295,759,1890,.402,276,831,.332,314,462,.680,305,1082,360,188,108,345,559
100,Fresno State,32,23,9,.719,8.99,0.67,13,5,13,4,7,3,2448,2162,,1285,847,1866,.454,342,897,.381,412,572,.720,300,1137,457,228,111,400,592
101,Furman,33,25,8,.758,7.46,-1.50,13,5,13,3,11,4,2562,2182,,1340,930,1962,.474,338,935,.361,364,508,.717,326,1171,524,288,137,407,481
102,Gardner-Webb NCAA,35,23,12,.657,-2.61,-4.43,11,6,13,0,8,9,2718,2468,,1430,955,1962,.487,281,719,.391,527,741,.711,271,1190,502,238,101,407,561
103,George Mason,33,18,15,.545,0.84,0.08,11,7,11,6,6,6,2314,2289,,1330,825,1855,.445,210,637,.330,454,634,.716,323,1166,399,204,97,428,563
104,George Washington,33,9,24,.273,-6.65,1.20,4,14,6,11,2,10,2097,2356,,1340,745,1842,.404,196,631,.311,411,600,.685,274,1116,375,170,96,413,526
105,Georgetown,33,19,14,.576,6.80,5.31,9,9,13,6,5,6,2625,2576,,1355,894,2017,.443,269,757,.355,568,771,.737,350,1299,542,198,131,443,581
106,Georgia Southern,33,21,12,.636,3.75,0.13,12,6,10,4,7,7,2726,2489,,1330,1012,2028,.499,204,632,.323,498,720,.692,320,1190,403,255,132,451,590
107,Georgia State NCAA,34,24,10,.706,2.44,0.65,13,5,13,1,7,7,2598,2491,,1360,903,1968,.459,330,859,.384,462,694,.666,273,1110,415,269,158,391,583
108,Georgia Tech,32,14,18,.438,6.93,8.15,6,12,11,7,3,9,2091,2130,,1285,755,1714,.440,176,573,.307,405,588,.689,262,1074,433,221,166,459,560
109,Georgia,32,11,21,.344,5.31,8.12,2,16,8,9,2,9,2274,2364,,1280,776,1761,.441,210,653,.322,512,726,.705,357,1215,423,185,163,506,565
110,Gonzaga NCAA,37,33,4,.892,27.79,5.01,16,0,17,0,9,1,3243,2400,,1480,1177,2239,.526,287,790,.363,602,791,.761,354,1443,668,278,204,394,603
111,Grambling,34,17,17,.500,-9.73,-9.34,10,8,11,3,6,12,2426,2336,,1370,834,1846,.452,223,553,.403,535,781,.685,307,1287,420,193,147,536,699
112,Grand Canyon,34,20,14,.588,3.85,-1.49,10,6,12,2,5,8,2560,2353,,1370,907,2006,.452,257,777,.331,487,666,.731,350,1238,478,207,75,411,598
113,Green Bay,38,21,17,.553,-2.24,-0.36,10,8,15,3,5,13,3090,3036,,1535,1106,2413,.458,303,879,.345,575,818,.703,376,1406,578,291,154,500,730
114,Hampton,35,18,17,.514,-3.34,-5.06,9,7,12,3,6,12,2847,2669,,1430,966,2236,.432,291,844,.345,622,790,.787,363,1370,487,215,121,379,649
115,Hartford,33,18,15,.545,-3.95,-4.89,10,6,10,4,8,9,2477,2407,,1345,848,1862,.455,322,846,.381,459,619,.742,278,1050,462,228,69,401,556
116,Harvard,31,19,12,.613,1.86,0.66,10,4,9,2,8,9,2222,2174,,1265,787,1711,.460,260,722,.360,388,538,.721,288,1119,369,174,123,491,554
117,Hawaii,31,18,13,.581,-1.30,-3.61,9,7,12,5,4,5,2241,2131,,1250,788,1746,.451,266,751,.354,399,576,.693,278,1054,478,156,66,368,556
118,High Point,31,16,15,.516,-5.63,-4.39,9,7,9,4,5,8,2115,2105,,1255,763,1719,.444,180,583,.309,409,605,.676,363,1183,404,170,91,406,502
119,Hofstra,35,27,8,.771,4.68,-4.53,15,3,15,1,10,6,2919,2553,,1440,998,2055,.486,308,800,.385,615,767,.802,305,1170,492,228,122,342,526
120,Holy Cross,33,16,17,.485,-6.43,-4.01,6,12,8,6,6,11,2216,2296,,1335,848,1834,.462,237,670,.354,283,424,.667,220,916,513,241,127,350,482
121,Houston Baptist,30,12,18,.400,-9.36,-5.53,8,10,9,4,3,13,2465,2484,,1225,865,1896,.456,200,588,.340,535,793,.675,409,1142,449,234,54,442,593
122,Houston NCAA,37,33,4,.892,18.91,4.61,16,2,19,1,10,1,2787,2258,,1480,982,2203,.446,333,939,.355,490,697,.703,448,1502,548,240,161,410,705
123,Howard,34,17,17,.500,-12.30,-9.52,10,6,6,8,9,8,2684,2661,,1370,937,2163,.433,244,669,.365,566,780,.726,396,1253,463,198,144,427,652
124,Idaho State,30,11,19,.367,-13.17,-4.81,7,13,6,7,5,11,2198,2369,,1200,779,1742,.447,274,752,.364,366,498,.735,275,975,383,154,88,360,497
125,Idaho,32,5,27,.156,-18.74,-6.19,2,18,4,11,1,13,2174,2460,,1285,778,1764,.441,251,678,.370,367,507,.724,258,1061,399,130,53,433,582
126,Illinois-Chicago,32,16,16,.500,-3.15,-1.99,10,8,12,4,4,12,2391,2385,,1295,865,1883,.459,303,856,.354,358,525,.682,271,1106,478,210,124,457,684
127,Illinois State,33,17,16,.515,-2.06,0.25,9,9,12,4,2,10,2257,2314,,1330,813,1887,.431,244,734,.332,387,540,.717,298,1139,421,162,106,417,577
128,Illinois,33,12,21,.364,8.95,11.53,7,13,9,6,1,9,2398,2483,,1335,862,2001,.431,259,751,.345,415,591,.702,351,1091,446,245,86,435,700
129,Incarnate Word,31,6,25,.194,-18.93,-5.11,1,17,5,9,0,14,2044,2355,,1255,711,1527,.466,174,508,.343,448,553,.810,204,845,354,184,53,504,592
130,Indiana State,31,15,16,.484,-2.72,0.62,7,11,9,5,4,9,2146,2218,,1250,757,1719,.440,178,491,.363,454,621,.731,250,1007,342,207,73,402,586
131,Indiana,35,19,16,.543,13.82,10.10,8,12,15,6,3,9,2504,2374,,1420,919,2009,.457,211,676,.312,455,695,.655,341,1272,469,226,154,433,596
132,Iona NCAA,33,17,16,.515,-4.78,-5.50,12,6,8,3,5,9,2532,2508,,1320,857,1897,.452,297,845,.351,521,699,.745,283,1152,432,223,90,406,564
133,Iowa State NCAA,35,23,12,.657,18.07,9.30,9,9,12,4,5,6,2692,2385,,1400,974,2047,.476,294,811,.363,450,615,.732,327,1230,527,247,160,379,517
134,Iowa NCAA,35,23,12,.657,14.27,9.84,10,10,14,4,4,6,2740,2585,,1415,914,2006,.456,285,782,.364,627,849,.739,357,1246,542,211,112,427,565
135,Purdue-Fort Wayne,33,18,15,.545,-3.47,-3.60,9,7,11,5,6,9,2728,2556,,1330,991,2059,.481,360,949,.379,386,557,.693,271,1140,525,247,158,395,495
136,IUPUI,33,16,17,.485,-2.72,-3.04,8,10,11,4,3,13,2507,2429,,1320,891,1969,.453,234,695,.337,491,699,.702,403,1233,471,228,103,462,578
137,Jackson State,32,13,19,.406,-14.60,-9.33,10,8,9,4,3,14,1974,2107,,1285,717,1774,.404,155,554,.280,385,607,.634,331,1125,359,209,124,436,643
138,Jacksonville State,33,24,9,.727,1.59,-5.47,15,3,11,1,10,7,2574,2283,,1345,953,2063,.462,200,634,.315,468,630,.743,400,1310,451,245,138,440,553
139,Jacksonville,32,12,20,.375,-8.27,-4.74,5,11,5,8,6,11,2385,2402,,1285,889,1953,.455,213,645,.330,394,582,.677,330,1163,457,213,166,463,523
140,James Madison,33,14,19,.424,-8.52,-4.07,6,12,8,6,4,11,2322,2409,,1350,821,1859,.442,243,670,.363,437,607,.720,345,1123,403,211,101,420,612
141,Kansas State NCAA,34,25,9,.735,15.39,9.18,14,4,13,2,7,5,2236,2025,,1360,806,1878,.429,241,721,.334,383,574,.667,325,1137,464,256,76,385,550
142,Kansas NCAA,36,26,10,.722,18.35,12.79,12,6,16,0,3,8,2725,2525,,1455,989,2128,.465,260,743,.350,487,691,.705,374,1376,478,243,139,472,610
143,Kennesaw State,32,6,26,.188,-16.17,-1.04,3,13,6,8,0,15,2030,2455,,1285,742,1945,.381,136,438,.311,410,590,.695,372,1163,362,185,106,437,525
